,GENDER,AGE,INCOME,Churn
1246,F,25,25000,0
1247,F,39,15000,0
1248,M,42,40000,0
1249,M,25,50000,0
1250,M,50,25000,0
1251,M,22,12000,0
1252,M,43,50000,0
1253,F,33,30000,0
1254,F,25,15000,0
1255,F,30,12000,0
1256,M,49,15000,0
1257,F,24,25000,0
1258,M,25,12000,0
1259,M,44,30000,0
1260,M,34,50000,0
1261,M,22,10000,0
1262,M,36,12000,0
1263,F,37,35000,0
1264,M,43,35000,0
1265,F,43,20000,0
1266,F,33,50000,0
1267,F,40,20000,0
1268,M,37,12000,0
1269,M,42,15000,0
1270,M,44,15000,0
1271,F,30,15000,0
1272,F,44,12000,0
1273,M,47,40000,0
1274,M,39,30000,0
1275,F,43,20000,0
1276,M,32,40000,0
1277,F,21,25000,0
1278,M,45,35000,0
1279,M,40,20000,0
1280,F,37,20000,0
1281,M,34,35000,0
1282,F,30,50000,0
1283,M,39,30000,0
1284,F,28,40000,0
1285,F,32,35000,0
1286,F,50,30000,0
1287,M,47,50000,0
1288,F,36,10000,0
1289,F,50,40000,0
1290,M,35,35000,0
1291,M,40,12000,0
1292,M,31,35000,0
1293,M,46,15000,0
1294,M,40,30000,0
1295,M,22,40000,0
1296,F,43,20000,0
1297,M,27,35000,0
1298,M,39,50000,0
1299,F,30,25000,0
1300,F,35,10000,0
1301,M,48,12000,0
1302,F,25,35000,0
1303,F,50,30000,0
1304,M,26,15000,0
1305,M,44,10000,0
1306,M,50,50000,0
1307,F,35,35000,0
1308,M,24,10000,0
1309,F,43,50000,0
1310,M,48,40000,0
1311,M,28,30000,0
1312,M,33,30000,0
1313,M,49,20000,0
1314,M,23,20000,0
1315,F,44,12000,0
1316,M,37,15000,0
1317,F,29,10000,0
1318,F,48,50000,0
1319,F,31,25000,0
1320,M,43,25000,0
1321,F,33,10000,0
1322,F,37,25000,0
1323,M,44,25000,0
1324,M,21,50000,0
1325,F,30,10000,0
1326,F,44,40000,0
1327,F,46,40000,0
1328,M,46,40000,0
1329,F,45,30000,0
1330,F,45,40000,0
1331,M,43,15000,0
1332,F,49,10000,0
1333,M,33,12000,0
1334,M,38,30000,0
1335,F,41,25000,0
1336,M,49,12000,0
1337,F,42,10000,0
1338,M,39,25000,0
1339,M,25,30000,0
1340,F,45,12000,0
1341,M,29,30000,0
1342,M,23,20000,0
1343,M,37,35000,0
1344,M,43,50000,0
1345,F,42,10000,0
1346,F,23,50000,0
1347,M,30,35000,0
1348,F,35,20000,0
1349,F,46,50000,0
1350,M,26,25000,0
1351,M,42,35000,0
1352,F,47,40000,0
1353,M,38,50000,0
1354,M,40,30000,0
1355,F,46,10000,0
1356,F,34,15000,0
1357,F,28,25000,0
1358,F,24,20000,0
1359,M,23,20000,0
1360,M,30,50000,0
1361,F,35,25000,0
1362,M,22,25000,0
1363,M,47,10000,0
1364,F,35,30000,0
1365,F,33,20000,0
1366,F,33,50000,0
1367,F,36,25000,0
1368,F,41,50000,0
1369,F,37,35000,0
1370,F,46,35000,0
1371,M,37,15000,0
1372,M,21,20000,0
1373,M,22,15000,0
1374,M,31,20000,0
1375,M,33,30000,0
1376,F,29,50000,0
1377,M,31,50000,0
1378,F,42,30000,0
1379,F,24,30000,0
1380,F,23,25000,0
1381,M,42,40000,0
1382,M,42,30000,0
1383,M,44,15000,0
1384,M,49,35000,0
1385,M,26,15000,0
1386,F,47,20000,0
1387,F,48,50000,0
1388,F,22,35000,0
1389,F,21,50000,0
1390,M,47,15000,0
1391,F,29,50000,0
1392,F,41,50000,0
1393,F,31,15000,0
1394,M,24,20000,0
1395,M,26,20000,0
1396,F,47,30000,0
1397,F,43,35000,0
1398,F,32,12000,0
1399,M,25,50000,0
1400,M,48,15000,0
1401,F,45,10000,0
1402,M,47,20000,0
1403,F,36,25000,0
1404,M,34,15000,0
1405,M,30,40000,0
1406,F,41,25000,0
1407,M,37,25000,0
1408,F,26,30000,0
1409,M,43,12000,0
1410,M,43,15000,0
1411,F,38,15000,0
1412,M,45,30000,0
1413,M,41,25000,0
1414,F,30,15000,0
1415,M,31,12000,0
1416,M,25,35000,0
1417,M,28,12000,0
1418,M,29,50000,0
1419,M,26,10000,0
1420,M,26,35000,0
1421,F,50,12000,0
1422,F,46,50000,0
1423,F,47,15000,0
1424,F,28,25000,0
1425,F,33,30000,0
1426,M,48,50000,0
1427,M,49,12000,0
1428,F,38,30000,0
1429,M,26,50000,0
1430,F,23,10000,0
1431,M,44,12000,0
1432,M,28,20000,0
1433,F,29,20000,0
1434,F,43,30000,0
1435,M,28,20000,0
1436,F,28,12000,0
1437,F,46,15000,0
1438,M,32,10000,0
1439,F,26,12000,0
1440,F,33,25000,0
1441,M,44,50000,0
1442,M,35,20000,0
1443,M,40,25000,0
1444,F,38,35000,0
1445,F,33,15000,0
1446,F,28,35000,0
1447,F,35,10000,0
1448,F,38,30000,0
1449,F,37,10000,0
1450,F,37,25000,0
1451,F,37,25000,0
1452,F,30,40000,0
1453,M,28,20000,0
1454,M,39,25000,0
1455,F,33,10000,0
1456,F,28,50000,0
1457,M,26,10000,0
1458,M,50,12000,0
1459,M,50,40000,0
1460,F,29,15000,0
1461,F,47,12000,0
1462,M,43,50000,0
1463,F,38,20000,0
1464,M,21,20000,0
1465,F,44,40000,0
1466,F,42,50000,0
1467,F,24,20000,0
1468,M,47,12000,0
1469,M,26,35000,0
1470,M,23,25000,0
1471,F,23,12000,0
1472,F,43,15000,0
1473,M,32,40000,0
1474,F,44,40000,0
1475,F,27,25000,0
1476,M,36,30000,0
1477,F,30,35000,0
1478,F,42,10000,0
1479,M,50,20000,0
1480,F,35,30000,0
1481,M,21,25000,0
1482,M,50,10000,0
1483,F,37,15000,0
1484,F,33,25000,0
1485,M,43,30000,0
1486,F,24,40000,0
1487,M,26,20000,0
1488,F,31,15000,0
1489,F,22,10000,0
1490,M,34,20000,0
1491,F,48,40000,0
1492,M,28,50000,0
1493,M,22,15000,0
1494,F,43,35000,0
1495,M,30,25000,0
1496,F,23,30000,0
1497,F,26,25000,0
1498,F,45,25000,0
1499,F,27,10000,0
1500,M,22,40000,0
1501,F,43,12000,0
1502,M,35,30000,0
1503,M,26,20000,0
1504,M,50,25000,0
1505,M,50,25000,0
1506,F,38,35000,0
1507,M,28,40000,0
1508,M,34,10000,0
1509,F,29,12000,0
1510,M,24,10000,0
1511,M,45,50000,0
1512,F,43,25000,0
1513,F,29,10000,0
1514,M,22,35000,0
1515,F,21,30000,0
1516,M,35,35000,0
1517,F,49,20000,0
1518,M,39,10000,0
1519,F,30,25000,0
1520,M,34,15000,0
1521,F,44,40000,0
1522,F,39,15000,0
1523,M,45,50000,0
1524,M,25,40000,0
1525,F,50,35000,0
1526,F,31,40000,0
1527,F,43,35000,0
1528,F,27,25000,0
1529,M,31,12000,0
1530,F,41,20000,0
1531,F,22,50000,0
1532,M,47,35000,0
1533,M,41,20000,0
1534,M,24,10000,0
1535,M,50,20000,0
1536,M,35,35000,0
1537,M,33,20000,0
1538,F,29,12000,0
1539,M,41,10000,0
1540,F,26,25000,0
1541,M,50,15000,0
1542,F,21,20000,0
1543,F,39,10000,0
1544,F,41,20000,0
1545,F,36,30000,0
1546,F,25,15000,0
1547,M,48,12000,0
1548,M,22,15000,0
1549,F,38,10000,0
1550,M,34,20000,0
1551,M,37,40000,0
1552,F,43,10000,0
1553,F,21,12000,0
1554,M,38,40000,0
1555,M,50,10000,0
1556,M,29,50000,0
1557,M,23,25000,0
1558,F,25,15000,0
1559,M,37,20000,0
1560,F,22,30000,0
1561,F,44,20000,0
1562,F,21,35000,0
1563,M,35,50000,0
1564,M,35,12000,0
1565,M,43,20000,0
1566,F,29,30000,0
1567,F,46,12000,0
1568,M,27,10000,0
1569,M,26,50000,0
1570,M,45,30000,0
1571,F,43,12000,0
1572,F,41,40000,0
1573,M,29,10000,0
1574,F,49,12000,0
1575,M,34,12000,0
1576,M,31,12000,0
1577,F,32,10000,0
1578,M,45,15000,0
1579,M,37,25000,0
1580,F,34,30000,0
1581,F,33,50000,0
1582,F,46,12000,0
1583,F,25,50000,0
1584,M,37,12000,0
1585,F,45,25000,0
1586,M,33,30000,0
1587,F,50,50000,0
1588,F,23,12000,0
1589,M,46,15000,0
1590,F,30,20000,0
1591,F,24,12000,0
1592,F,27,50000,0
1593,M,36,35000,0
1594,M,21,10000,0
1595,F,42,20000,0
1596,F,36,20000,0
1597,M,28,15000,0
1598,M,45,12000,0
1599,M,31,40000,0
1600,M,26,12000,0
1601,F,31,15000,0
1602,M,37,35000,0
1603,M,29,15000,0
1604,M,45,15000,0
1605,F,40,50000,0
1606,M,38,50000,0
1607,M,43,12000,0
1608,M,32,25000,0
1609,M,21,50000,0
1610,F,40,15000,0
1611,M,21,20000,0
1612,M,45,10000,0
1613,M,42,35000,0
1614,M,47,25000,0
1615,F,22,20000,0
1616,M,41,20000,0
1617,M,32,20000,0
1618,M,46,10000,0
1619,F,27,50000,0
1620,M,33,40000,0
1621,F,22,10000,0
1622,F,39,25000,0
1623,F,45,50000,0
1624,F,21,40000,0
1625,F,27,10000,0
1626,M,27,25000,0
1627,F,22,12000,0
1628,M,36,35000,0
1629,M,36,35000,0
1630,M,45,40000,0
1631,F,46,35000,0
1632,F,36,35000,0
1633,M,45,10000,0
1634,F,46,12000,0
1635,M,27,40000,0
1636,F,46,15000,0
1637,M,36,12000,0
1638,F,46,15000,0
1639,F,44,12000,0
1640,M,37,15000,0
1641,F,36,12000,0
1642,M,34,12000,0
1643,F,46,12000,0
1644,F,25,20000,0
1645,F,39,10000,0
1646,M,40,30000,0
1647,F,26,35000,0
1648,M,43,10000,0
1649,M,32,20000,0
1650,F,35,35000,0
1651,M,40,25000,0
1652,M,24,15000,0
1653,M,43,20000,0
1654,F,24,20000,0
1655,M,32,20000,0
1656,F,43,10000,0
1657,F,47,35000,0
1658,M,38,20000,0
1659,M,29,35000,0
1660,F,43,40000,0
1661,F,31,35000,0
1662,M,44,30000,0
1663,F,21,15000,0
1664,M,48,15000,0
1665,M,38,30000,0
1666,M,21,25000,0
1667,F,48,35000,0
1668,F,38,10000,0
1669,F,25,25000,0
1670,M,30,35000,0
1671,M,35,10000,0
1672,F,44,12000,0
1673,F,25,20000,0
1674,M,28,12000,0
1675,M,47,15000,0
1676,M,40,50000,0
1677,F,40,20000,0
1678,M,49,25000,0
1679,F,30,25000,0
1680,F,26,30000,0
1681,F,43,40000,0
1682,M,21,10000,0
1683,F,48,35000,0
1684,F,45,40000,0
1685,F,48,40000,0
1686,F,48,35000,0
1687,F,24,20000,0
1688,F,34,20000,0
1689,M,29,30000,0
1690,M,23,30000,0
1691,F,31,50000,0
1692,F,28,12000,0
1693,M,36,50000,0
1694,M,39,10000,0
1695,F,23,25000,0
1696,M,28,30000,0
1697,M,47,20000,0
1698,M,49,10000,0
1699,M,22,40000,0
1700,M,29,40000,0
1701,F,27,50000,0
1702,F,49,12000,0
1703,M,38,30000,0
1704,F,37,15000,0
1705,M,23,40000,0
1706,F,37,40000,0
1707,M,43,20000,0
1708,M,24,35000,0
1709,F,39,50000,0
1710,F,40,50000,0
1711,F,49,35000,0
1712,M,23,12000,0
1713,F,32,25000,0
1714,M,27,30000,0
1715,F,43,10000,0
1716,M,32,10000,0
1717,F,37,30000,0
1718,F,45,50000,0
1719,F,49,30000,0
1720,F,47,20000,0
1721,F,33,20000,0
1722,F,25,10000,0
1723,M,25,20000,0
1724,M,49,15000,0
1725,F,44,30000,0
1726,M,28,50000,0
1727,F,29,35000,0
1728,M,48,15000,0
1729,F,23,10000,0
1730,M,47,25000,0
1731,F,48,12000,0
1732,M,39,30000,0
1733,M,47,20000,0
1734,M,33,35000,0
1735,F,47,15000,0
1736,F,36,30000,0
1737,M,27,25000,0
1738,M,48,15000,0
1739,M,38,50000,0
1740,F,24,50000,0
1741,F,40,12000,0
1742,F,33,15000,0
1743,F,24,30000,0
1744,F,32,10000,0
1745,M,32,15000,0
1746,F,25,50000,0
1747,F,32,20000,0
1748,F,48,10000,0
1749,M,26,12000,0
1750,F,43,40000,0
1751,M,23,40000,0
1752,M,34,40000,0
1753,F,37,12000,0
1754,M,39,40000,0
1755,M,36,25000,0
1756,F,36,12000,0
1757,M,40,40000,0
1758,F,21,50000,0
1759,F,38,50000,0
1760,M,47,10000,0
1761,M,24,10000,0
1762,M,40,10000,0
1763,M,38,10000,0
1764,M,35,25000,0
1765,F,40,40000,0
1766,M,37,50000,0
1767,M,34,30000,0
1768,M,48,25000,0
1769,F,33,40000,0
1770,F,39,25000,0
1771,M,38,20000,0
1772,M,31,15000,0
1773,F,38,40000,0
1774,M,48,15000,0
1775,F,39,40000,0
1776,F,21,40000,0
1777,M,50,25000,0
1778,F,30,50000,0
1779,M,44,12000,0
1780,M,21,50000,0
1781,M,49,40000,0
1782,F,44,15000,0
1783,M,30,35000,0
1784,F,22,12000,0
1785,F,36,12000,0
1786,F,23,35000,0
1787,M,26,25000,0
1788,M,40,30000,0
1789,F,28,12000,0
1790,F,42,40000,0
1791,F,49,25000,0
1792,F,40,35000,0
1793,F,27,20000,0
1794,M,21,35000,0
1795,M,28,10000,0
1796,F,50,20000,0
1797,F,47,20000,0
1798,M,34,35000,0
1799,F,21,25000,0
1800,M,30,20000,0
1801,M,24,15000,0
1802,M,33,10000,0
1803,F,36,40000,0
1804,M,27,50000,0
1805,M,33,20000,0
1806,F,49,40000,0
1807,M,47,35000,0
1808,M,35,35000,0
1809,F,33,40000,0
1810,M,48,35000,0
1811,F,30,30000,0
1812,M,24,15000,0
1813,M,50,30000,0
1814,M,34,40000,0
1815,M,40,50000,0
1816,F,33,30000,0
1817,M,46,15000,0
1818,F,29,50000,0
1819,F,38,12000,0
1820,M,28,20000,0
1821,M,23,12000,0
1822,F,22,35000,0
1823,F,46,10000,0
1824,M,27,15000,0
1825,M,21,12000,0
1826,F,30,30000,0
1827,M,28,40000,0
1828,F,37,40000,0
1829,M,26,30000,0
1830,M,43,40000,0
1831,M,39,12000,0
1832,M,41,15000,0
1833,M,50,40000,0
1834,M,30,35000,0
1835,F,38,25000,0
1836,F,42,20000,0
1837,M,39,12000,0
1838,M,31,12000,0
1839,F,30,12000,0
1840,M,50,30000,0
1841,M,25,35000,0
1842,M,43,50000,0
1843,F,32,10000,0
1844,F,27,10000,0
1845,M,26,50000,0
1846,M,34,35000,0
1847,M,25,30000,0
1848,M,31,10000,0
1849,M,35,35000,0
1850,M,44,30000,0
1851,M,39,50000,0
1852,F,40,40000,0
1853,F,24,12000,0
1854,M,49,25000,0
1855,F,47,30000,0
1856,M,47,40000,0
1857,F,46,50000,0
1858,M,37,12000,0
1859,F,32,20000,0
1860,F,49,10000,0
1861,F,43,12000,0
1862,M,39,20000,0
1863,M,25,25000,0
1864,M,22,15000,0
1865,M,32,10000,0
1866,F,25,15000,0
1867,F,27,40000,0
1868,M,32,12000,0
1869,F,31,35000,0
1870,M,45,50000,0
1871,F,33,15000,0
1872,M,30,12000,0
1873,M,48,50000,0
1874,F,24,15000,0
1875,F,44,30000,0
1876,F,37,25000,0
1877,M,24,10000,0
1878,M,41,30000,0
1879,M,50,50000,0
1880,M,40,30000,0
1881,F,33,40000,0
1882,F,49,35000,0
1883,M,47,30000,0
1884,M,43,40000,0
1885,M,32,35000,0
1886,M,24,35000,0
1887,M,37,20000,0
1888,F,40,35000,0
1889,M,28,40000,0
1890,M,41,15000,0
1891,M,46,25000,0
1892,M,29,15000,0
1893,M,25,35000,0
1894,F,47,10000,0
1895,F,30,10000,0
1896,M,28,30000,0
1897,F,27,35000,0
1898,F,50,35000,0
1899,F,35,50000,0
1900,M,45,25000,0
1901,F,44,10000,0
1902,M,36,40000,0
1903,F,31,15000,0
1904,F,28,20000,0
1905,F,34,20000,0
1906,M,23,30000,0
1907,M,21,10000,0
1908,F,28,40000,0
1909,M,36,35000,0
1910,F,47,25000,0
1911,M,24,15000,0
1912,F,44,20000,0
1913,F,21,10000,0
1914,M,32,50000,0
1915,M,50,40000,0
1916,F,24,30000,0
1917,F,31,15000,0
1918,M,46,35000,0
1919,M,42,50000,0
1920,F,33,35000,0
1921,F,38,35000,0
1922,F,43,20000,0
1923,F,23,10000,0
1924,M,28,40000,0
1925,M,38,20000,0
1926,M,26,50000,0
1927,F,29,12000,0
1928,M,22,12000,0
1929,M,50,30000,0
1930,M,30,35000,0
1931,F,50,10000,0
1932,M,40,15000,0
1933,F,50,25000,0
1934,F,37,12000,0
1935,M,26,25000,0
1936,F,45,30000,0
1937,M,43,10000,0
1938,F,24,40000,0
1939,M,32,15000,0
1940,M,44,35000,0
1941,M,27,50000,0
1942,M,42,10000,0
1943,M,29,20000,0
1944,M,43,25000,0
1945,M,35,40000,0
1946,M,50,40000,0
1947,M,29,10000,0
1948,M,22,40000,0
1949,M,25,30000,0
1950,F,27,40000,0
1951,M,29,15000,0
1952,M,40,25000,0
1953,F,28,25000,0
1954,M,32,12000,0
1955,F,29,10000,0
1956,M,50,35000,0
1957,M,34,40000,0
1958,M,45,15000,0
1959,M,32,35000,0
1960,F,39,40000,0
1961,M,27,50000,0
1962,M,32,15000,0
1963,F,32,40000,0
1964,M,31,50000,0
1965,M,47,40000,0
1966,M,48,12000,0
1967,M,30,25000,0
1968,M,24,10000,0
1969,M,30,30000,0
1970,F,32,12000,0
1971,M,33,50000,0
1972,M,48,12000,0
1973,M,29,12000,0
1974,F,23,40000,0
1975,M,42,20000,0
1976,F,26,12000,0
1977,F,49,25000,0
1978,F,32,30000,0
1979,M,42,25000,0
1980,F,43,20000,0
1981,F,48,10000,0
1982,M,29,50000,0
1983,M,45,25000,0
1984,M,21,35000,0
1985,F,38,25000,0
1986,M,45,50000,0
1987,F,33,12000,0
1988,M,28,40000,0
1989,M,34,50000,0
1990,F,22,50000,0
1991,M,31,40000,0
1992,F,50,30000,0
1993,F,33,40000,0
1994,M,41,40000,0
1995,M,22,50000,0
1996,M,37,30000,0
1997,F,46,25000,0
1998,M,40,10000,0
1999,F,30,15000,0
2000,M,42,12000,0
2001,M,23,30000,0
2002,M,24,12000,0
2003,M,23,25000,0
2004,F,32,30000,0
2005,F,42,20000,0
2006,F,46,10000,0
2007,M,37,15000,0
2008,M,45,50000,0
2009,M,37,30000,0
2010,M,47,10000,0
2011,M,32,20000,0
2012,F,29,35000,0
2013,M,24,15000,0
2014,F,26,30000,0
2015,M,40,30000,0
2016,M,44,15000,0
2017,M,27,15000,0
2018,F,30,15000,0
2019,M,38,10000,0
2020,M,28,30000,0
2021,M,43,40000,0
2022,M,39,40000,0
2023,F,44,20000,0
2024,F,46,15000,0
2025,M,44,20000,0
2026,M,45,15000,0
2027,F,21,15000,0
2028,M,43,12000,0
2029,F,21,35000,0
2030,F,38,30000,0
2031,M,48,30000,0
2032,F,45,12000,0
2033,M,49,40000,0
2034,F,27,12000,0
2035,F,33,50000,0
2036,M,39,10000,0
2037,F,48,30000,0
2038,M,36,30000,0
2039,M,26,30000,0
2040,M,44,50000,0
2041,F,23,50000,0
2042,M,30,50000,0
2043,F,30,40000,0
2044,M,41,15000,0
2045,M,43,25000,0
2046,M,24,10000,0
2047,F,47,35000,0
2048,F,28,20000,0
2049,F,42,50000,0
2050,F,48,15000,0
2051,M,28,12000,0
2052,F,40,15000,0
2053,M,29,10000,0
2054,F,26,25000,0
2055,M,33,40000,0
2056,F,47,40000,0
2057,F,34,40000,0
2058,M,27,20000,0
2059,F,38,35000,0
2060,F,35,10000,0
2061,F,34,15000,0
2062,F,36,15000,0
2063,M,46,25000,0
2064,M,40,10000,0
2065,F,29,40000,0
2066,M,34,10000,0
2067,F,22,30000,0
2068,F,32,15000,0
2069,F,41,40000,0
2070,F,22,50000,0
2071,M,45,25000,0
2072,M,41,50000,0
2073,M,45,35000,0
2074,F,37,25000,0
2075,M,31,40000,0
2076,F,48,20000,0
2077,M,28,50000,0
2078,M,46,30000,0
2079,F,42,35000,0
2080,F,33,20000,0
2081,F,36,25000,0
2082,F,50,10000,0
2083,F,39,50000,0
2084,F,48,25000,0
2085,F,26,12000,0
2086,F,22,20000,0
2087,M,28,15000,0
2088,M,48,25000,0
2089,M,31,12000,0
2090,M,37,12000,0
2091,F,31,35000,0
2092,M,50,10000,0
2093,F,35,12000,0
2094,M,31,10000,0
2095,F,50,15000,0
2096,M,48,50000,0
2097,M,28,10000,0
2098,M,29,20000,0
2099,F,30,15000,0
2100,M,31,50000,0
2101,M,40,35000,0
2102,F,24,25000,0
2103,M,37,30000,0
2104,M,34,12000,0
2105,F,49,35000,0
2106,M,43,50000,0
2107,F,46,30000,0
2108,M,32,10000,0
2109,F,23,25000,0
2110,F,30,10000,0
2111,M,28,12000,0
2112,M,22,12000,0
2113,M,36,25000,0
2114,M,27,12000,0
2115,M,38,20000,0
2116,M,25,10000,0
2117,M,26,35000,0
2118,F,37,50000,0
2119,F,25,40000,0
2120,F,38,35000,0
2121,F,40,10000,0
2122,M,22,15000,0
2123,M,30,15000,0
2124,M,25,25000,0
2125,M,50,35000,0
2126,F,36,50000,0
2127,M,43,20000,0
2128,M,45,30000,0
2129,F,22,12000,0
2130,F,21,40000,0
2131,M,23,20000,0
2132,F,38,20000,0
2133,F,42,40000,0
2134,F,32,50000,0
2135,M,32,15000,0
2136,F,47,35000,0
2137,M,30,50000,0
2138,F,23,25000,0
2139,M,27,15000,0
2140,M,45,50000,0
2141,F,37,35000,0
2142,F,24,40000,0
2143,F,42,40000,0
2144,F,21,10000,0
2145,M,38,15000,0
2146,F,35,35000,0
2147,F,37,50000,0
2148,F,37,20000,0
2149,M,30,12000,0
2150,M,49,30000,0
2151,M,36,15000,0
2152,M,36,50000,0
2153,M,40,20000,0
2154,F,26,10000,0
2155,M,40,20000,0
2156,M,32,50000,0
2157,M,24,25000,0
2158,F,47,25000,0
2159,F,38,15000,0
2160,M,30,25000,0
2161,F,41,10000,0
2162,F,35,50000,0
2163,F,42,35000,0
2164,F,29,50000,0
2165,M,34,12000,0
2166,M,32,10000,0
2167,M,39,35000,0
2168,F,42,20000,0
2169,M,32,12000,0
2170,M,32,20000,0
2171,M,46,25000,0
2172,F,44,35000,0
2173,M,30,30000,0
2174,M,38,20000,0
2175,F,45,20000,0
2176,M,48,40000,0
2177,F,33,12000,0
2178,M,46,12000,0
2179,M,44,25000,0
2180,F,26,10000,0
2181,M,28,10000,0
2182,F,37,12000,0
2183,F,40,15000,0
2184,F,38,50000,0
2185,F,46,10000,0
2186,F,31,25000,0
2187,M,28,50000,0
2188,M,42,12000,0
2189,M,38,40000,0
2190,M,23,10000,0
2191,F,35,25000,0
2192,F,23,12000,0
2193,M,36,35000,0
2194,F,35,10000,0
2195,M,45,12000,0
2196,F,31,35000,0
2197,F,31,30000,0
2198,M,29,40000,0
2199,F,49,40000,0
2200,F,36,15000,0
2201,M,24,15000,0
2202,M,24,12000,0
2203,F,41,15000,0
2204,M,33,25000,0
2205,M,21,20000,0
2206,F,30,40000,0
2207,M,38,20000,0
2208,M,39,30000,0
2209,M,25,35000,0
2210,F,48,10000,0
2211,F,22,50000,0
2212,F,27,35000,0
2213,M,35,25000,0
2214,M,28,15000,0
2215,M,25,20000,0
2216,F,27,40000,0
2217,M,48,25000,0
2218,M,37,12000,0
2219,F,48,35000,0
2220,F,31,30000,0
2221,M,49,30000,0
2222,F,36,25000,0
2223,M,38,50000,0
2224,F,22,40000,0
2225,M,24,35000,0
2226,F,35,50000,0
2227,M,45,15000,0
2228,M,31,30000,0
2229,M,25,25000,0
2230,F,25,15000,0
2231,M,40,30000,0
2232,M,22,20000,0
2233,M,48,10000,0
2234,F,21,50000,0
2235,M,46,35000,0
2236,M,22,15000,0
2237,M,42,10000,0
2238,M,31,35000,0
2239,F,28,15000,0
2240,M,41,12000,0
2241,F,30,25000,0
2242,F,22,20000,0
2243,F,33,20000,0
2244,M,21,30000,0
2245,M,27,10000,0
2246,M,25,10000,0
2247,F,39,20000,0
2248,F,44,15000,0
2249,F,31,10000,0
2250,M,32,25000,0
2251,F,29,40000,0
2252,M,29,50000,0
2253,F,35,40000,0
2254,F,35,20000,0
2255,F,41,35000,0
2256,F,36,30000,0
2257,F,48,12000,0
2258,F,50,25000,0
2259,M,23,10000,0
2260,F,43,30000,0
2261,M,40,12000,0
2262,M,32,20000,0
2263,M,28,10000,0
2264,F,49,40000,0
2265,M,35,25000,0
2266,F,49,30000,0
2267,M,50,10000,0
2268,F,50,40000,0
2269,F,25,10000,0
2270,F,40,30000,0
2271,M,44,35000,0
2272,F,39,20000,0
2273,F,35,10000,0
2274,M,30,15000,0
2275,F,40,15000,0
2276,F,46,25000,0
2277,M,48,25000,0
2278,F,47,25000,0
2279,F,43,12000,0
2280,M,50,12000,0
2281,M,32,30000,0
2282,M,32,35000,0
2283,F,39,35000,0
2284,F,47,20000,0
2285,F,46,10000,0
2286,F,22,12000,0
2287,F,49,20000,0
2288,M,42,15000,0
2289,F,49,25000,0
2290,M,36,30000,0
2291,M,46,12000,0
2292,M,21,30000,0
2293,F,24,12000,0
2294,F,37,10000,0
2295,F,34,12000,0
2296,M,37,30000,0
2297,F,45,10000,0
2298,F,42,10000,0
2299,M,26,30000,0
2300,M,22,12000,0
2301,M,24,30000,0
2302,F,44,20000,0
2303,F,40,10000,0
2304,M,49,50000,0
2305,M,24,25000,0
2306,M,47,15000,0
2307,M,24,50000,0
2308,M,30,25000,0
2309,M,30,15000,0
2310,F,27,35000,0
2311,F,24,15000,0
2312,M,28,20000,0
2313,F,22,15000,0
2314,M,47,10000,0
2315,M,34,35000,0
2316,F,38,25000,0
2317,F,41,50000,0
2318,F,49,40000,0
2319,F,31,30000,0
2320,M,37,30000,0
2321,F,46,15000,0
2322,F,21,35000,0
2323,M,45,15000,0
2324,M,32,20000,0
2325,F,42,20000,0
2326,F,44,10000,0
2327,M,46,20000,0
2328,F,46,10000,0
2329,M,40,10000,0
2330,M,45,12000,0
2331,F,48,35000,0
2332,M,30,25000,0
2333,M,50,20000,0
2334,M,43,10000,0
2335,M,49,10000,0
2336,F,31,30000,0
2337,M,30,10000,0
2338,M,35,50000,0
2339,F,31,50000,0
2340,M,47,20000,0
2341,F,32,35000,0
2342,M,21,10000,0
2343,F,46,35000,0
2344,M,32,40000,0
2345,F,39,12000,0
2346,F,26,10000,0
2347,M,37,20000,0
2348,F,21,30000,0
2349,F,21,20000,0
2350,F,37,15000,0
2351,M,29,50000,0
2352,F,36,20000,0
2353,M,50,20000,0
2354,F,48,15000,0
2355,M,46,15000,0
2356,F,35,30000,0
2357,F,30,10000,0
2358,M,22,12000,0
2359,M,27,40000,0
2360,M,35,12000,0
2361,M,37,20000,0
2362,F,40,25000,0
2363,F,38,12000,0
2364,F,39,12000,0
2365,M,32,10000,0
2366,F,47,12000,0
2367,M,50,35000,0
2368,F,36,20000,0
2369,F,28,10000,0
2370,M,34,50000,0
2371,F,46,15000,0
2372,M,21,10000,0
2373,M,31,12000,0
2374,M,49,25000,0
2375,M,39,35000,0
2376,F,27,50000,0
2377,F,25,40000,0
2378,F,40,12000,0
2379,F,39,15000,0
2380,F,33,40000,0
2381,M,38,50000,0
2382,F,41,25000,0
2383,M,23,12000,0
2384,F,38,20000,0
2385,F,48,35000,0
2386,M,39,50000,0
2387,M,23,12000,0
2388,M,38,20000,0
2389,F,37,25000,0
2390,F,21,15000,0
2391,F,32,10000,0
2392,F,37,40000,0
2393,F,31,20000,0
2394,F,43,40000,0
2395,F,35,10000,0
2396,F,47,12000,0
2397,F,48,35000,0
2398,F,38,40000,0
2399,F,44,30000,0
2400,M,23,30000,0
2401,F,31,40000,0
2402,F,25,12000,0
2403,F,42,12000,0
2404,M,22,30000,0
2405,F,31,10000,0
2406,F,46,50000,0
2407,M,28,50000,0
2408,M,23,15000,0
2409,F,45,35000,0
2410,M,30,12000,0
